iter	RMSE
0	50.88550344
1	49.73235515
2	48.69888509
3	47.82003527
4	46.90145392
5	46.01969631
6	45.08624371
7	44.21730478
8	43.49393866
9	42.66616891
10	41.94334053
11	41.24531061
12	40.4997612
13	39.8113465
14	39.14705445
15	38.51933046
16	37.90944507
17	37.34402739
18	36.86241254
19	36.3169504
20	35.89381808
21	35.37601533
22	34.85509497
23	34.39633157
24	33.93843161
25	33.498645
26	33.07827781
27	32.62814321
28	32.29748226
29	31.94554149
30	31.57401001
31	31.2680887
32	30.85680176
33	30.51864172
34	30.19470277
35	29.86250734
36	29.54524582
37	29.28731068
38	29.04184031
39	28.78155376
40	28.5053931
41	28.30699011
42	28.0599758
43	27.88545738
44	27.71071189
45	27.49453609
46	27.27979939
47	27.07931285
48	26.76621218
49	26.49364488
50	26.30439992
51	26.08020282
52	25.91798774
53	25.69800747
54	25.55398529
55	25.34424297
56	25.14603592
57	25.01980759
58	24.78511166
59	24.64348963
60	24.42222596
61	24.31139233
62	24.17776257
63	24.07561709
64	23.9295487
65	23.79418383
66	23.65937861
67	23.48471088
68	23.30769027
69	23.24623245
70	23.09126457
71	22.96965468
72	22.86872903
73	22.76506044
74	22.65529486
75	22.54869568
76	22.40424673
77	22.295441
78	22.19724807
79	22.0175127
80	21.8824898
81	21.70755532
82	21.65248695
83	21.58254839
84	21.51053296
85	21.43660993
86	21.34329033
87	21.19510044
88	21.1124198
89	20.9447722
90	20.78962906
91	20.70481595
92	20.64298714
93	20.5934603
94	20.53341921
95	20.4700377
96	20.40575614
97	20.27207674
98	20.20059003
99	20.14623562
100	20.08751291
101	20.03183065
102	19.95638419
103	19.91462969
104	19.87625627
105	19.82099338
106	19.79020667
107	19.74559711
108	19.60744028
109	19.55429323
110	19.51236421
111	19.42656175
112	19.30471653
113	19.26211267
114	19.13220374
115	19.08664796
116	19.06247718
117	19.01571537
118	18.97949397
119	18.94771714
120	18.83660085
121	18.79540948
122	18.77299234
123	18.7340844
124	18.69107375
125	18.64062156
126	18.60310001
127	18.49719607
128	18.4581402
129	18.41952867
130	18.39178335
131	18.28145697
132	18.25050283
133	18.20738569
134	18.16627591
135	18.12908831
136	18.1026219
137	18.06946063
138	17.96310913
139	17.86765198
140	17.84779987
141	17.74491816
142	17.7102432
143	17.6544181
144	17.61271609
145	17.59530733
146	17.56302781
147	17.46920104
148	17.43996652
149	17.34676008
150	17.25020245
151	17.22396404
152	17.1943271
153	17.15528041
154	17.1175368
155	17.09662205
156	17.07640997
157	17.0491803
158	17.02490721
159	17.0010317
160	16.97242675
161	16.89842696
162	16.84693635
163	16.82085317
164	16.72694215
165	16.69806344
166	16.67675471
167	16.65074059
168	16.63128987
169	16.53887543
170	16.52075214
171	16.49126696
172	16.47457349
173	16.44946716
174	16.43763347
175	16.35246449
176	16.30339447
177	16.21760499
178	16.13098046
