iter	Passed	Remaining
0	1	1057
1	1	680
2	1	591
3	2	539
4	2	512
5	2	494
6	3	488
7	3	490
8	4	477
9	4	469
10	5	468
11	5	471
12	6	469
13	6	467
14	7	461
15	7	452
16	7	447
17	8	444
18	8	439
19	8	440
20	9	435
21	9	436
22	10	431
23	10	427
24	10	425
25	11	426
26	11	424
27	12	416
28	12	413
29	12	411
30	13	410
31	13	409
32	13	408
33	14	404
34	14	402
35	15	403
36	15	403
37	15	402
38	16	401
39	16	399
40	17	397
41	17	396
42	17	397
43	18	397
44	18	396
45	18	393
46	19	391
47	19	390
48	20	390
49	20	390
50	20	390
51	21	388
52	21	387
53	22	387
54	22	385
55	22	384
56	23	383
57	23	382
58	23	381
59	24	381
60	24	381
61	25	379
62	25	379
63	25	378
64	26	378
65	26	377
66	27	377
67	27	376
68	27	376
69	28	375
70	28	375
71	29	374
72	29	374
73	29	374
74	30	374
75	30	374
76	31	374
77	31	374
78	32	374
79	32	374
80	32	373
81	33	372
82	33	369
83	33	368
84	34	367
85	34	367
86	34	367
87	35	367
88	35	366
89	36	365
90	36	365
91	37	365
92	37	363
93	37	360
94	37	359
95	38	359
96	38	360
97	39	359
98	39	360
99	39	359
100	40	359
101	40	359
102	41	358
103	41	357
104	41	357
105	42	357
106	42	357
107	43	356
108	43	355
109	43	355
110	44	355
111	44	354
112	45	353
113	45	352
114	45	351
115	46	351
116	46	350
117	46	349
118	47	349
119	47	349
120	48	349
121	48	348
122	48	348
123	49	348
124	49	348
125	50	348
126	50	347
127	50	347
128	51	346
129	51	346
130	52	346
131	52	346
132	53	345
133	53	345
134	53	344
135	54	344
136	54	343
137	54	342
138	55	342
139	55	342
140	56	342
141	56	342
142	57	341
143	57	340
144	57	340
145	58	340
146	58	339
147	59	339
148	59	338
149	59	338
150	60	337
151	60	337
152	60	336
153	61	336
154	61	336
155	62	335
156	62	335
157	62	334
158	63	334
159	63	333
160	63	333
161	64	332
162	64	332
163	65	331
164	65	331
165	66	331
166	66	331
167	66	330
168	67	330
169	67	330
170	67	329
171	68	328
172	68	328
173	69	327
174	69	327
175	69	326
176	70	326
177	70	325
178	70	325
179	71	324
180	71	324
181	72	323
182	72	323
183	72	322
184	73	322
185	73	322
186	74	321
187	74	321
188	74	320
189	75	320
190	75	320
191	75	319
192	76	319
193	76	319
194	77	318
195	77	318
196	77	317
197	78	316
198	78	316
199	78	315
200	79	315
201	79	314
202	80	314
203	80	313
204	80	313
205	81	313
206	81	312
207	82	312
208	82	312
209	82	312
210	83	311
211	83	311
212	84	310
213	84	310
214	84	309
215	85	309
216	85	309
217	86	308
218	86	308
219	86	307
220	87	307
221	87	307
222	88	306
223	88	306
224	88	306
225	89	305
226	89	305
227	90	305
228	90	304
229	90	304
230	91	304
231	91	303
232	92	303
233	92	303
234	92	302
235	93	302
236	93	301
237	94	301
238	94	300
239	94	300
240	95	300
241	95	300
242	96	299
243	96	299
244	97	298
245	97	298
246	97	298
247	98	297
248	98	297
249	99	297
250	99	296
251	99	296
252	100	295
253	100	295
254	101	295
255	101	294
256	101	294
257	102	294
258	102	293
259	103	293
260	103	293
261	103	292
262	104	292
263	104	291
264	105	291
265	105	290
266	105	290
267	106	289
268	106	289
269	106	288
270	107	288
271	107	287
272	107	287
273	108	286
274	108	286
275	109	286
276	109	285
277	109	285
278	110	284
279	110	284
280	110	283
281	111	283
282	111	283
283	112	282
284	112	282
285	112	281
286	113	281
287	113	281
288	114	280
289	114	280
290	115	280
291	115	279
292	115	279
293	116	279
294	116	278
295	116	278
296	117	277
297	117	277
298	118	276
299	118	276
300	118	275
301	119	275
302	119	275
303	120	274
304	120	274
305	120	274
306	121	273
307	121	273
308	122	272
309	122	272
310	122	272
311	123	271
312	123	271
313	124	271
314	124	270
315	124	270
316	125	269
317	125	269
318	125	268
319	126	268
320	126	268
321	127	267
322	127	267
323	127	266
324	128	266
325	128	265
326	128	265
327	129	265
328	129	264
329	130	264
330	130	263
331	130	263
332	131	262
333	131	262
334	131	261
335	132	261
336	132	261
337	133	260
338	133	260
339	133	260
340	134	259
341	134	259
342	135	258
343	135	258
344	135	257
345	136	257
346	136	256
347	136	256
348	137	256
349	137	256
350	138	255
351	138	255
352	139	254
353	139	254
354	139	254
355	140	253
356	140	253
357	140	252
358	141	252
359	141	251
360	142	251
361	142	250
362	142	250
363	143	250
364	143	249
365	143	249
366	144	248
367	144	248
368	145	247
369	145	247
370	145	247
371	146	246
372	146	246
373	146	245
374	147	245
375	147	244
376	147	244
377	148	243
378	148	243
379	148	243
380	149	242
381	149	242
382	150	241
383	150	241
384	150	241
385	151	240
386	151	240
387	152	239
388	152	239
389	152	239
390	153	238
391	153	238
392	154	237
393	154	237
394	154	237
395	155	236
396	155	236
397	155	235
398	156	235
399	156	235
400	157	234
401	157	234
402	158	234
403	158	233
404	158	233
405	159	233
406	159	232
407	159	232
408	160	231
409	160	231
410	161	230
411	161	230
412	161	229
413	161	229
414	162	228
415	162	228
416	163	228
417	163	227
418	163	227
419	164	226
420	164	226
421	165	226
422	165	225
423	165	225
424	166	224
425	166	224
426	166	224
427	167	223
428	167	223
429	168	223
430	168	222
431	169	222
432	169	221
433	169	221
434	170	221
435	170	220
436	171	220
437	171	220
438	171	219
439	172	219
440	172	218
441	172	218
442	173	218
443	173	217
444	175	218
445	175	217
446	175	217
447	176	217
448	176	216
449	177	216
450	177	215
451	177	215
452	178	215
453	178	214
454	178	214
455	179	213
456	179	213
457	180	213
458	180	212
459	180	212
460	181	211
461	181	211
462	182	211
463	182	210
464	182	210
465	183	209
466	183	209
467	183	209
468	184	208
469	184	208
470	185	207
471	185	207
472	185	207
473	186	206
474	186	206
475	186	205
476	187	205
477	187	204
478	187	204
479	187	203
480	188	203
481	188	202
482	188	201
483	188	201
484	189	200
485	189	200
486	189	199
487	190	199
488	190	199
489	190	198
490	191	198
491	191	197
492	191	197
493	191	196
494	192	196
495	192	195
496	192	195
497	193	194
498	193	194
499	193	193
500	193	193
501	194	192
502	194	192
503	194	191
504	195	191
505	195	190
506	195	190
507	195	189
508	196	189
509	196	188
510	196	188
511	197	187
512	197	187
513	197	186
514	197	186
515	198	185
516	198	185
517	198	184
518	199	184
519	199	183
520	199	183
521	199	182
522	200	182
523	200	182
524	200	181
525	200	181
526	201	180
527	201	180
528	201	179
529	202	179
530	202	178
531	202	178
532	202	177
533	203	177
534	203	176
535	203	176
536	203	175
537	204	175
538	204	174
539	204	174
540	204	173
541	205	173
542	205	172
543	205	172
544	206	171
545	206	171
546	206	171
547	206	170
548	207	170
549	207	169
550	207	169
551	208	168
552	208	168
553	208	167
554	208	167
555	209	167
556	209	166
557	209	166
558	210	165
559	210	165
560	210	164
561	210	164
562	211	163
